Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT0169,WARDSBORO,Wardsboro Free Public,PO Box 157,170 Main St.,Windham,(802) 896-6988,20,06/30/2012,900,0,0,26,0.65,5,0.125,31,0.775,20,964,$0.00,$0.00,$0.00,$862.00,$862.00,$26200.00,$29.11,$43581.00,$69781.00,$100.00,$50.00,$5235.00,$5385.00,N/A,$4050.00,$500.00,$304.00,$4854.00,$5.39,N/A,N/A,$27681.00,$27995.00,$60530.00,$67.26,$0.00,"$38,007 ",N/A,N/A,6115,6.79,0,N/A,N/A,235,N/A,N/A,195,6545,15,5,20,24,0,N/A,N/A,1227,136.33%,5356,5.95,2756,3.06,N/A,N/A,5866,6.52,0.9%,21,188,23,17,6,46,521,373,102,996,1.11,52,0,10,5,4,290,134,5,high speed,No,N/A,y-86,Municipal,Yes,LibraryWorld,"170 Main St.
Wardsboro, VT 05355
(43.043105881000486, -72.79006450599962)",157,wardsboropubliclibrary.org,Wardsboro
2011-2012,VT0007,BAKERSFIELD,H. F. Brigham Free,PO Box 5,104 Main St.,Franklin,(802) 827-4414,21,12/31/2011,1426,0,0,23,0.575,4,0.1,27,0.675,0,792,$0.00,$0.00,$0.00,$0.00,$0.00,$27420.00,$19.23,$4800.00,$32220.00,$100.00,$55.00,$0.00,$155.00,$0.00,$2650.00,$14.00,$233.00,$2897.00,$2.03,$19300.00,$1800.00,$21100.00,$5460.00,$29457.00,$20.66,$0.00,$0 ,5472,4896,10368,7.27,0,454,110,564,121,64,185,11117,9,3,12,0,0,N/A,N/A,1227,86.04%,2704,1.9,364,0.26,1658,840,2498,1.75,0.22%,39,65,1,5,0,6,72,81,0,153,0.11,0,0,0,3,2,7,11,5,high speed,No,N/A,y-86,Municipal,No,N/A,"104 Main St.
Bakersfield, VT 05441
(44.78354006300049, -72.80112452199967)",5,hfbrigham.wordpress.com,Bakersfield
2011-2012,VT0212,SALISBURY,Salisbury Free Public,PO Box 59,918 Maple St.,Addison,(802) 458-0747,9,06/30/2011,1167,7,0.16875,8,0.20625,0,0,8,0.20625,1,2518,$0.00,$0.00,$0.00,$0.00,$0.00,$4700.00,$4.03,$1280.00,$5980.00,$0.00,$0.00,$0.00,$0.00,N/A,$447.00,$0.00,$0.00,$447.00,$0.38,$4477.00,$343.00,$4820.00,$670.00,$5937.00,$5.09,$0.00,$0 ,2327,1634,3961,3.39,0,277,128,405,133,3,136,4502,1,0,1,24,0,N/A,N/A,109,9.34%,1144,0.98,104,0.09,360,273,633,0.54,0.14%,0,16,17,6,0,23,N/A,N/A,0,200,0.17,1,0,0,3,2,3,3,N/A,high speed,No,none,no,Municipal,Yes,library world,"918 Maple St.
Salisbury, VT 05769
(43.8964232240005, -73.10161988699963)",59,http://salisburypubliclibrary.wordpress.com/,Salisbury
2011-2012,VT0143,SHOREHAM,Platt Memorial,279 Main Street,279 Main St.,Addison,(802) 897-2647,22,12/31/2011,1202,15,0.375,15,0.375,14,0.35,29,0.725,6,900,$0.00,$0.00,$0.00,$113232.00,$113232.00,$28000.00,$23.29,$11600.00,$39600.00,$1240.00,$0.00,$2300.00,$3540.00,N/A,$2956.00,$222.00,$781.00,$3959.00,$3.29,N/A,N/A,$23741.00,$8915.00,$36615.00,$30.46,$181358.00,"$181,358 ",6796,2935,9731,8.1,0,648,380,1028,360,43,403,11162,3,0,3,25,0,N/A,N/A,903,75.12%,4056,3.37,260,0.22,N/A,N/A,6908,5.75,0.62%,34,175,19,53,6,78,352,731,26,1109,0.92,0,6,6,4,2,10,8,N/A,high speed,No,N/A,y-86,Municipal,Yes,ResourceMate,"279 Main St.
Shoreham, VT 05770
(43.89379146600049, -73.31458738599963)",237,www.plattlib.org,Shoreham
2011-2012,VT0012,BARTON,Barton Public,PO Box 549 ,100 Church St.,Orleans,(802) 525-6524,22.38461538,12/31/2011,1544,0,0,22,0.55,20,0.5,42,1.05,22,2184,$0.00,$0.00,$0.00,$0.00,$0.00,$16750.00,$10.85,$16332.00,$33082.00,$600.00,$51.00,$9000.00,$9651.00,N/A,$3574.00,$0.00,$447.00,$4021.00,$2.61,$22289.00,$1705.00,$23994.00,$20416.00,$48431.00,$31.38,$11496.00,$0 ,8000,6600,14600,9.46,0,N/A,N/A,505,210,160,370,15475,10,6,16,25,0,730,425,1155,74.83%,14820,9.6,2340,1.52,5650,5600,11250,7.29,0.73%,45,81,53,110,2,165,1040,1853,40,2933,1.9,21,36,48,6,4,85,65,25,high speed,No,N/A,y-86,Incorporated,No,N/A,"100 Church St.
Barton, VT 05822
(44.749586594000505, -72.18042758599967)",549,bartonpubliclibrary.org,Barton
2011-2012,VT0039,COLCHESTER,Burnham Memorial,898 Main Street,898 Main Street,Chittenden,(802) 879-7576,54,06/30/2012,17083,80,2,80,2,184,4.6,264,6.6,42,7790,$0.00,$0.00,$0.00,$0.00,$0.00,$588070.00,$34.42,$34379.00,$622449.00,$0.00,$950.00,$0.00,$950.00,N/A,$35915.00,$3424.00,$3404.00,$42743.00,$2.50,$335610.00,$139310.00,$474920.00,$32770.00,$550433.00,$32.22,$0.00,$0 ,23785,23281,47066,2.76,0,1340,981,2321,2465,1106,3571,52958,80,21,101,3,0,7179,1334,8513,49.83%,62088,3.63,4108,0.24,41953,59819,101772,5.96,1.92%,782,663,175,582,71,828,1279,6504,628,8411,0.49,7,2,20,26,13,30,176,N/A,high speed,No,n/a ,y-86,Municipal,Yes,Koha/Vokal,"898 Main Street
Colchester, VT 05446
(44.544279359000484, -73.14939293799966)",7179,www.colchestervt.gov/Library,Colchester
2011-2012,VT0075,HUNTINGTON,Huntington Public,PO Box 98,2156 Main Rd.,Chittenden,(802) 434-4583,27,06/30/2012,1957,0,0,20,0.5,15,0.3625,35,0.8625,7,7015,$0.00,$0.00,$0.00,$0.00,$0.00,$41282.00,$21.09,$7093.00,$48375.00,$100.00,$338.00,$250.00,$688.00,$0.00,N/A,N/A,N/A,$6687.00,$3.42,$27830.00,$1985.00,$29815.00,$8450.00,$44952.00,$22.97,$350.00,$0 ,6158,5798,11956,6.11,0,202,169,371,466,211,677,13004,8,1,9,1,0,700,89,789,40.32%,6812,3.48,3120,1.59,N/A,N/A,10594,5.41,0.81%,188,85,N/A,N/A,N/A,101,N/A,N/A,N/A,2229,1.14,3,27,0,5,3,10,30,5,high speed,No,na,y-86,Municipal,Yes,koha,"2156 Main Rd.
Huntington, VT 05462
(44.32665289100049, -72.98768087199966)",98,huntingtonpubliclibrary.org,Huntington
2011-2012,VT0110,NORWICH,Norwich Public,PO Box 290,368 Main St.,Windsor,(802) 649-1184,44.5,06/30/2012,3433,40,1,124,3.1,44,1.0875,168,4.1875,48,7812,$0.00,$0.00,$0.00,$0.00,$0.00,$170000.00,$49.52,$89152.00,$261322.00,$100.00,$658.00,$2750.00,$3508.00,$2170.00,$14082.00,$1188.00,$4001.00,$19271.00,$5.61,$160026.00,$27200.00,$187226.00,$55335.00,$261832.00,$76.27,$3508.00,$0 ,17619,14335,31954,9.31,1621,1318,593,1911,932,603,1535,35400,50,7,57,26,0,2624,519,3143,91.55%,62400,18.18,4732,1.38,N/A,N/A,60223,17.54,1.7%,559,587,41,162,N/A,203,1209,2765,N/A,3974,1.16,52,10,0,17,8,156,85,126,high speed,No,N/A,y-98,Incorporated,Yes,Koha,"368 Main St.
Norwich, VT 05055
(43.71679803900048, -72.30889456899968)",290,www.norwichlibrary.org,Norwich
2011-2012,VT0065,GREENSBORO,Greensboro Free,53 Wilson St.,53 Wilson Street,Orleans,(802) 533-2531,31.55769231,12/31/2011,796,0,0,25,0.625,34,0.84425,59,1.46925,82,5996,$8000.00,$0.00,$0.00,$27968.00,$35968.00,$15375.00,$19.32,$53953.00,$69328.00,$0.00,$124.00,$6000.00,$6124.00,N/A,$6120.00,$54.00,$1819.00,$7993.00,$10.04,$36351.00,$3203.00,$39554.00,$23219.00,$70766.00,$88.90,$0.00,"$35,968 ",9023,5284,14307,17.97,0,1835,422,2257,589,125,714,17278,44,6,50,24,0,N/A,N/A,3931,493.84%,12116,15.22,780,0.98,N/A,N/A,26818,33.69,1.55%,77,168,14,160,0,174,172,1863,0,2035,2.56,0,113,0,13,10,85,46,30,high speed,No,N/A,y-86,Municipal,Yes,Library World,"53 Wilson Street
Greensboro, VT 05841
(44.57677057900048, -72.29600937699962)",8150,http://www.greensborofreelibrary.org/,Greensboro
2011-2012,VT0099,MORETOWN,Moretown Memorial,897 Rte. 100 B,897 Rte. 100 B,Washington,(802) 496-9728,23.57692308,12/31/2011,1537,0,0,10,0.25,8,0.2,18,0.45,20,420,$0.00,$0.00,$0.00,$0.00,$0.00,$18000.00,$11.71,$2136.00,$20136.00,$720.00,$50.00,$0.00,$770.00,$0.00,N/A,N/A,N/A,$2461.00,$1.60,$10768.00,$827.00,$11595.00,$2797.00,$16853.00,$10.96,$390.00,$0 ,3245,3679,6924,4.5,0,N/A,N/A,184,137,144,281,7389,4,0,4,25,0,277,239,516,33.57%,2756,1.79,468,0.3,N/A,N/A,5945,3.87,0.8%,17,82,N/A,N/A,N/A,80,N/A,N/A,N/A,1359,0.88,10,0,0,4,4,4,2,0,high speed,No,N/A,y-86,Municipal,Yes,VOKAL,"897 Rte. 100 B
Moretown, VT 05660
(44.24749287800046, -72.76390918899966)",491,http://www.moretownvt.org/moretown-library/,Moretown
2011-2012,VT0152,STRAFFORD,Morrill Mem. & Harris,PO Box 110,220 Justin Morrill Hwy.,Orange,(802) 765-4037,19.26923077,12/31/2011,1130,0,0,25,0.625,0,0,25,0.625,12,2260,$0.00,$0.00,$0.00,$0.00,$0.00,$34000.00,$30.09,$10526.00,$44526.00,$100.00,$106.00,$4000.00,$4206.00,N/A,$4442.00,$433.00,$1488.00,$6363.00,$5.63,$24542.00,$2234.00,$26776.00,$18393.00,$51532.00,$45.60,$3421.00,$0 ,N/A,N/A,10038,8.88,0,N/A,N/A,635,N/A,N/A,422,11095,15,0,15,1,0,348,129,477,42.21%,4576,4.05,52,0.05,N/A,N/A,11151,9.87,1.01%,51,281,18,74,0,92,184,447,0,631,0.56,2,0,8,4,2,2,14,N/A,high speed,No,N/A,y-86,Incorporated,Yes,Library World,"220 Justin Morrill Hwy.
Strafford, VT 05072
(43.8779418310005, -72.38246586099967)",110,www.straffordlibrary.org,Strafford
2011-2012,VT0059,FRANKLIN,Haston,PO Box 83,5167 Main St.,Franklin,(802) 285-6505,26,12/31/2011,1404,0,0,30,0.75,0,0,30,0.75,15,2028,$0.00,$0.00,$0.00,$0.00,$0.00,$27777.00,$19.78,$10978.00,$38755.00,$100.00,$50.00,$0.00,$150.00,N/A,N/A,N/A,N/A,$4449.00,$3.17,$16903.00,$1300.00,$18203.00,$6844.00,$29496.00,$21.01,$0.00,$0 ,N/A,N/A,8769,6.25,4,N/A,N/A,684,N/A,N/A,207,9660,10,2,12,25,0,N/A,N/A,662,47.15%,4628,3.3,312,0.22,N/A,N/A,6659,4.74,0.69%,30,238,18,58,3,79,N/A,N/A,N/A,1178,0.84,7,0,0,9,8,58,27,3,high speed,No,N/A,y-86,Municipal,Yes,OpenBiblio,"5167 Main St.
Franklin, VT 05457
(44.9815840010005, -72.91561191899967)",83,hastonlibrary.org,Franklin
2011-2012,VT0029,BURLINGTON,Fletcher Free,235 College St.,235 College St.,Chittenden,(802) 863-3403,62.59615385,06/30/2012,42192,200,5,240,6,502,12.55,742,18.55,188,44000,$0.00,$0.00,$0.00,$0.00,$0.00,$1790644.00,$42.44,$44659.00,$1848859.00,$2000.00,$2316.00,$67291.00,$71607.00,$13556.00,$120720.00,$49780.00,$25529.00,$196029.00,$4.65,$877396.00,$505987.00,$1383383.00,$239982.00,$1819394.00,$43.12,$67291.00,$0 ,100463,43980,144443,3.42,24631,4770,1253,6023,3419,1956,5375,155841,256,16,272,35,0,11766,2026,13792,32.69%,259272,6.15,13104,0.31,233874,156728,390602,9.26,2.51%,1943,1233,646,208,73,927,3631,8136,298,12065,0.29,43,23,137,54,30,229,1251,221,high speed,Children Only,Safeyes,y-98,Municipal,Yes,SirsiDynix,"235 College St.
Burlington, VT 05401
(44.47717239500048, -73.21010824999968)",8317,www.fletcherfree.org,Burlington
2011-2012,VT0053,ESSEX,Essex Free,PO Box 8093,1 Browns River Road,Chittenden,(802) 879-0313,51,06/30/2012,19506,78,1.9375,164,4.1,2,0.05,166,4.15,10,6000,$0.00,$0.00,$0.00,$0.00,$0.00,$360027.00,$18.46,$4354.00,$364381.00,$0.00,$1670.00,$0.00,$1670.00,$0.00,$19625.00,$3633.00,$3607.00,$26865.00,$1.38,$211820.00,$94180.00,$306000.00,$33471.00,$366336.00,$18.78,$0.00,$0 ,22407,8514,30921,1.59,0,1515,360,1875,1720,260,1980,34776,40,4,44,25,0,N/A,N/A,8383,42.98%,92716,4.75,17680,0.91,64758,30748,95506,4.9,2.75%,2246,284,26,219,16,261,468,4340,107,4915,0.25,0,0,31,12,6,105,315,15,high speed,No,na,y-86,Community (joint school-public),Yes,Follett,"1 Browns River Road
Essex, VT 05451
(44.51200232700046, -73.05870399099967)",8093,www.essex.org,Essex
2011-2012,VT0117,PLYMOUTH,Tyson,867 Route 100 ,867 Route 100 ,Windsor,N/A,12,08/31/2012,540,0,0,0,0,0,0,0,0,19,374,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$0.00,$0.00,$100.00,$0.19,N/A,N/A,$0.00,$400.00,$500.00,$0.93,$0.00,$0 ,2335,880,3215,5.95,0,0,0,0,0,0,0,3215,0,0,0,0,0,0,0,N/A,N/A,520,0.96,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,no app.,Community (joint school-public),0,0,"867 Route 100
Ludlow, VT 05149
(43.44095971200045, -72.69905802799963)",9414,N/A,Ludlow
2011-2012,VT0184,WEST WINDSOR,Mary L. Blood Memorial,PO Box 468 ,41 Brownsville Hartland Rd.,Windsor,(802) 484-7205,6,12/31/2011,1130,0,0,6,0.15,0,0,6,0.15,1,900,$0.00,$0.00,$0.00,$0.00,$0.00,$12500.00,$11.06,$1678.00,$14178.00,$0.00,$0.00,$0.00,$0.00,N/A,$962.00,$0.00,$0.00,$962.00,$0.85,$4744.00,$425.00,$5169.00,$6039.00,$12170.00,$10.77,$0.00,$0 ,2463,1572,4035,3.57,0,135,60,195,116,33,149,4379,5,0,5,24,0,N/A,N/A,324,28.67%,780,0.69,52,0.05,150,184,334,0.3,0.08%,9,45,2,14,0,16,N/A,N/A,N/A,190,0.17,5,0,0,1,1,0,1,1,high speed,No,N/A,no app.,Incorporated,No,N/A,"41 Brownsville Hartland Rd.
Brownsville, VT 05037
(43.4684039710005, -72.47126365999964)",468,marybloodlibrary.wordpress.com,Brownsville
2011-2012,VT0148,STAMFORD,Stamford Community,986 Main Rd.,986 Main Rd.,Bennington,(802) 694-1379,29.30769231,12/31/2011,825,0,0,20,0.5,0,0,20,0.5,1,1080,$0.00,$0.00,$0.00,$0.00,$0.00,$74002.00,$89.70,$3266.00,$77268.00,$100.00,$50.00,$0.00,$150.00,$0.00,$5660.00,$0.00,N/A,$5660.00,$6.86,$51939.00,$9491.00,$61430.00,$3362.00,$70452.00,$85.40,$50.00,$0 ,N/A,N/A,10466,12.69,0,N/A,N/A,380,N/A,N/A,152,10998,7,4,11,24,0,291,168,459,55.64%,9724,11.79,3640,4.41,N/A,N/A,9034,10.95,0.82%,15,82,5,49,0,54,69,289,0,358,0.43,10,8,0,6,5,70,85,1,high speed,Children Only,Sonic Wall,y-98,Community (joint school-public),Yes,Follett,"986 Main Rd.
Stamford, VT 05352
(42.75501010000045, -73.06813544499965)",9740,stamfordlibrary.org,Stamford
2011-2012,VT0182,WESTON,Wilder Memorial,PO Box 38,24 Lawrence Hill Rd.,Windsor,(802) 824-4307,16.92307692,10/15/2012,552,0,0,16,0.4,0,0,16,0.4,4,800,$600.00,$0.00,$0.00,$0.00,$600.00,$10000.00,$18.12,$13668.00,$23668.00,$50.00,$50.00,$0.00,$100.00,N/A,$2432.00,N/A,$150.00,$2582.00,$4.68,$10575.00,$1219.00,$11794.00,$7665.00,$22041.00,$39.93,$0.00,$948 ,3900,1525,5425,9.83,0,0,150,150,150,16,166,5741,7,0,7,24,0,N/A,N/A,N/A,N/A,1820,3.3,260,0.47,938,316,1254,2.27,0.22%,10,81,4,3,0,7,197,269,N/A,466,0.84,6,2,0,3,2,1,22,35,high speed,No,N/A,y-86,Municipal,Yes,Library World,"24 Lawrence Hill Rd.
Weston, VT 05161
(43.291561844000455, -72.79469436199963)",38,N/A,Weston
2011-2012,VT0213,CORINTH,Blake Memorial,PO Box D,676 Village Rd.,Orange,(802) 439-5338,22,12/31/2011,2428,0,0,30,0.75,0,0,30,0.75,40,2890,$0.00,$0.00,$0.00,$0.00,$0.00,$2596.00,$1.07,$37879.00,$40475.00,$100.00,$50.00,$0.00,$150.00,N/A,$4750.00,$750.00,$350.00,$5850.00,$2.41,$25312.00,$2112.00,$27424.00,$12713.00,$45987.00,$18.94,$0.00,$0 ,11994,7518,19512,8.04,0,355,326,681,102,67,169,20362,30,1,31,25,0,N/A,N/A,1259,51.85%,7592,3.13,1820,0.75,N/A,N/A,10999,4.53,0.54%,42,118,31,64,0,95,580,1250,0,1830,0.75,5,2,0,8,6,50,23,12,high speed,No,N/A,y-86,Incorporated,Yes,Mandarin,"676 Village Rd.
E. Corinth, VT 05040
(44.0637921390005, -72.22211406399964)",69,www.blakememorial.org,E. Corinth
2011-2012,VT0087,LUNENBURG,Alden Balch Memorial,PO Box 6,24 E. Main St.,Essex,(802) 892-5365,20,N/A,1375,N/A,NA,N/A,NA,N/A,NA,0,0,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$20000.00,$14.55,N/A,$20000.00,$0.00,$0.00,$0.00,$0.00,N/A,N/A,N/A,N/A,$0.00,$0.00,N/A,N/A,$0.00,N/A,$0.00,$0.00,$0.00,$0 ,N/A,N/A,0,0,0,N/A,N/A,0,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no app.,Community (joint school-public),N/A,N/A,"24 E. Main St.
Lunenburg, VT 05906
(44.46322241900049, -71.68156849199966)",6,N/A,Lunenburg
2011-2012,VT0167,WALDEN,Walden Community,135 Cahoon Farm Rd.,135 Cahoon Farm Rd.,Caledonia,(802) 563-3000,16.53846154,12/31/2011,924,0,0,0,0,0,0,0,0,20,0,$0.00,$0.00,$0.00,$0.00,$0.00,$2000.00,$2.16,N/A,$2000.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$0.00,$0.00,$1400.00,$1.52,$0.00,$0.00,$0.00,$0.00,$1400.00,$1.52,$0.00,$0 ,3700,3500,7200,7.79,0,327,240,567,24,0,24,7791,N/A,N/A,42,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0%,12,48,4,0,0,4,12,0,0,12,0.01,0,0,0,2,2,0,N/A,N/A,high speed,Yes,unknown,no,Community (joint school-public),Yes,OPALS,"135 Cahoon Farm Rd.
West Danville, VT 05873
(44.452547336000464, -72.21932004199965)",9853,N/A,West Danville
2011-2012,VT0089,LYNDON,Cobleigh Public,PO Box 147,14 Depot St.,Caledonia,(802) 626-5475,37,12/31/2011,10473,0,0,133,3.325,48,1.2,181,4.525,41,8000,$0.00,$0.00,$0.00,$0.00,$0.00,$215959.00,$20.62,$17242.00,$233201.00,$2700.00,$760.00,$19310.00,$22770.00,N/A,$15647.00,$719.00,$1615.00,$17981.00,$1.72,$140236.00,$47460.00,$187696.00,$46609.00,$252286.00,$24.09,$22770.00,$0 ,17958,14756,32714,3.12,0,850,532,1382,931,236,1167,35263,53,7,60,25,0,N/A,N/A,3717,35.49%,86840,8.29,15964,1.52,N/A,N/A,58912,5.63,1.67%,801,804,82,1449,37,1568,789,18279,149,19217,1.83,43,950,25,18,12,3249,573,37,high speed,No,N/A,y-98,Municipal,Yes,TLC Library Corp,"14 Depot St.
Lyndonville, VT 05851
(44.53516227200049, -72.00477846399963)",147,www.cobleighlibrary.org,Lyndonville
2011-2012,VT0198,HARTFORD/QUECHEE,Quechee ,PO Box 384,1957 Quechee Main St.,Windsor,(802) 295-1232,45,06/30/2012,4798,40,1,92,2.3,2,0.05,94,2.35,65,6000,$0.00,$0.00,$0.00,$8500.00,$8500.00,$131800.00,$27.47,$52399.00,$184199.00,$1850.00,$886.00,$20200.00,$22936.00,N/A,$12018.00,$2333.00,$4279.00,$18630.00,$3.88,$78030.00,$5969.00,$83999.00,$52399.00,$155028.00,$32.31,$5018.00,"$10,717 ",15709,12360,28069,5.85,21,2414,696,3110,1243,127,1370,32549,32,1,33,27,0,3525,N/A,3525,73.47%,21112,4.4,3900,0.81,25439,15495,40934,8.53,1.26%,951,105,55,186,24,265,838,3563,96,4497,0.94,28,69,202,16,10,95,45,56,high speed,No,n/a,y-98,Incorporated,Yes,The Library Corporation,"1957 Quechee Main St.
Quechee, VT 05059
(43.6483142940005, -72.42154494699963)",384,www.quecheelibrary.org,Quechee
2011-2012,VT0155,THETFORD,Latham Memorial,PO Box 240,16 Library Ln.,Orange,(802) 785-4361,32,12/31/2011,2612,30,0.75,35,0.875,0,0,35,0.875,25,2626,$0.00,$0.00,$0.00,$0.00,$0.00,$60364.00,$23.11,$8711.00,$69075.00,$100.00,$42.00,$0.00,$142.00,N/A,$4000.00,$1200.00,$3400.00,$8600.00,$3.29,$48891.00,$12185.00,$61076.00,$8504.00,$78180.00,$29.93,$0.00,$0 ,8603,2852,11455,4.39,0,673,162,835,175,112,287,12577,75,8,83,26,0,N/A,N/A,2250,86.14%,11648,4.46,1560,0.6,7775,2350,10125,3.88,0.81%,11,107,16,108,4,128,87,763,21,871,0.33,0,0,0,10,8,5,160,46,high speed,No,N/A,y-86,Incorporated,Yes,Library World,"16 Library Ln.
Thetford, VT 05074
(43.82050085800046, -72.23245888999963)",240,thetfordlibraries.org,Thetford
2011-2012,VT0164,VERGENNES,Bixby Memorial,258 Main St.,258 Main St.,Addison,(802) 877-2211,33.33653846,06/30/2012,7878,24,0.6,64,1.6,89,2.225,153,3.825,80,7781,$0.00,$0.00,$0.00,$4000.00,$4000.00,$98727.00,$12.53,$70928.00,$170635.00,$0.00,$198.00,$0.00,$198.00,$980.00,$20161.00,N/A,$2388.00,$22549.00,$2.86,$126625.00,$10917.00,$137542.00,$81406.00,$241497.00,$30.65,$0.00,$0 ,N/A,N/A,28890,3.67,0,613,283,896,663,50,713,30499,17,6,23,25,0,N/A,N/A,1585,20.12%,43628,5.54,18720,2.38,N/A,N/A,50888,6.46,1.67%,200,254,26,139,2,167,1865,2771,20,4656,0.59,10,54,0,14,6,24,77,105,high speed,No,N/A,y-86,Incorporated,Yes,Library World,"258 Main St.
Vergennes, VT 05491
(44.16723610100047, -73.25358081799965)",1056,http://bixbylibrary.org,Vergennes
2011-2012,VT0222,ORWELL,Orwell Free Library,P.O. Box 92,473 Main St.,Addison,(802) 948-2041,20,12/31/2011,1108,0,0,25,0.625,0,0,25,0.625,0,1700,$0.00,$0.00,$0.00,$0.00,$0.00,$18152.00,$16.38,$2697.00,$20849.00,$0.00,$0.00,$1300.00,$1300.00,N/A,$1569.00,N/A,$1528.00,$3097.00,$2.80,$16152.00,$1236.00,$17388.00,N/A,$20485.00,$18.49,$0.00,$0 ,5000,4160,9160,8.27,0,102,88,190,48,5,53,9403,9,8,17,0,0,N/A,N/A,420,37.91%,4680,4.22,936,0.84,N/A,N/A,2000,1.81,0.21%,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,N/A,12,N/A,5,6,N/A,N/A,N/A,high speed,No,n/a,y-86,0,No,N/A,"473 Main St.
Orwell Vt, VT 05760
(43.80359157200047, -73.29991847399964)",,www.orwellfreelibrary.wordpress.com,Orwell Vt
2011-2012,VT0085,LOWELL,Lowell Community,PO Box 189,Vermont 100,Orleans,(802) 744-2447,N/R,N/R,935,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,900,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"Vermont 100
Lowell, VT 05847
(44.728276363000475, -72.49863663099967)",189,N/R,Lowell
2011-2012,VT0106,NEW HAVEN,New Haven Community,PO Box 85 ,78 North St.,Addison,(802) 453-4015,24,09/30/2012,1632,0,0,30,0.75,0,0,30,0.75,32,977,$0.00,$0.00,$0.00,$0.00,$0.00,$40000.00,$24.51,$1552.00,$41552.00,$100.00,$97.00,$0.00,$197.00,N/A,N/A,N/A,N/A,$3567.00,$2.19,$35809.00,$1000.00,$36809.00,$3629.00,$44005.00,$26.96,$0.00,$0 ,6997,2811,9808,6.01,0,431,110,541,208,31,239,10588,8,0,8,26,0,N/A,N/A,774,47.43%,5824,3.57,2080,1.27,N/A,N/A,8845,5.42,0.84%,38,128,25,156,6,187,N/A,N/A,N/A,1676,1.03,5,80,0,5,4,40,60,40,high speed,No,N/A,y-86,Incorporated,Yes,Spectrum Sagebrush,"78 North St.
New Haven, VT 05472
(44.125977194000484, -73.15384405799966)",85,nhcl.org,New Haven
